,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Duty
4636,65.0,41.0,63.0,57.0,69.0,76.0,70.0,64.0,72.0,80.0,83.0,85.0,65.0,74.0,78.0,45.0,85.0,75.0,76.0,70.0,45.0,70.0,69.0,62.0,66.0,44.0,55.0,45.0,10.0,11.0,9.0,8.0,14.0,2
4637,70.0,74.0,69.0,72.0,68.0,62.0,69.0,50.0,74.0,52.0,55.0,69.0,66.0,69.0,69.0,67.0,70.0,85.0,65.0,56.0,33.0,77.0,56.0,70.0,66.0,32.0,18.0,20.0,6.0,9.0,6.0,13.0,9.0,3
4638,11.0,15.0,42.0,15.0,20.0,15.0,12.0,34.0,19.0,35.0,33.0,34.0,54.0,61.0,25.0,59.0,41.0,58.0,20.0,20.0,16.0,11.0,20.0,23.0,54.0,11.0,20.0,18.0,74.0,67.0,57.0,74.0,75.0,0
4639,61.0,64.0,68.0,44.0,64.0,61.0,45.0,65.0,68.0,72.0,74.0,70.0,69.0,73.0,64.0,83.0,79.0,75.0,62.0,78.0,71.0,69.0,73.0,56.0,61.0,68.0,69.0,67.0,10.0,7.0,6.0,6.0,5.0,2
4640,17.0,13.0,39.0,12.0,16.0,20.0,24.0,39.0,37.0,45.0,46.0,52.0,66.0,55.0,25.0,64.0,31.0,60.0,15.0,31.0,11.0,17.0,56.0,35.0,51.0,20.0,12.0,13.0,71.0,69.0,69.0,70.0,73.0,0
4641,39.0,56.0,66.0,37.0,58.0,45.0,46.0,67.0,64.0,71.0,70.0,71.0,67.0,77.0,63.0,83.0,88.0,74.0,58.0,77.0,72.0,32.0,59.0,48.0,63.0,67.0,71.0,70.0,12.0,16.0,13.0,15.0,10.0,2
4642,59.0,63.0,75.0,54.0,69.0,70.0,67.0,71.0,73.0,69.0,70.0,71.0,66.0,70.0,65.0,67.0,79.0,71.0,60.0,65.0,62.0,62.0,68.0,58.0,71.0,67.0,66.0,62.0,8.0,9.0,9.0,9.0,12.0,2
4643,60.0,62.0,71.0,39.0,68.0,70.0,32.0,65.0,70.0,76.0,76.0,69.0,70.0,70.0,59.0,66.0,75.0,66.0,49.0,59.0,66.0,61.0,59.0,36.0,68.0,58.0,70.0,74.0,8.0,8.0,7.0,11.0,9.0,1
4644,51.0,67.0,67.0,50.0,70.0,69.0,60.0,56.0,71.0,75.0,78.0,61.0,69.0,67.0,76.0,76.0,79.0,80.0,67.0,70.0,62.0,64.0,57.0,54.0,69.0,64.0,68.0,70.0,12.0,12.0,15.0,7.0,10.0,1
4645,61.0,52.0,72.0,63.0,69.0,74.0,73.0,72.0,73.0,64.0,64.0,75.0,69.0,78.0,70.0,33.0,34.0,55.0,67.0,63.0,68.0,71.0,75.0,61.0,71.0,38.0,59.0,35.0,16.0,6.0,15.0,12.0,13.0,2
